Date,Time,Temperature (Celsius)
02/25/2017,12:30:54.462,31.06
02/25/2017,12:31:24.554,31.14
02/25/2017,12:31:54.663,31.24
02/25/2017,12:32:24.706,31.33
02/25/2017,12:32:54.784,31.49
02/25/2017,12:33:24.882,31.57
02/25/2017,12:33:54.971,31.69
02/25/2017,12:34:25.052,31.73
02/25/2017,12:34:55.120,31.85
02/25/2017,12:35:25.227,31.86
02/25/2017,12:36:22.125,31.84
02/25/2017,12:36:25.383,31.73
02/25/2017,12:36:55.459,31.78
02/25/2017,12:37:25.548,31.8
02/25/2017,12:37:55.654,31.88
02/25/2017,12:38:25.766,31.97
02/25/2017,12:38:55.784,32.08
02/25/2017,12:39:25.872,32.13
02/25/2017,12:39:55.974,32.16
02/25/2017,12:40:26.064,32.15
02/25/2017,12:40:56.132,32.14
02/25/2017,12:41:26.311,32.12
02/25/2017,12:41:56.300,32.07
02/25/2017,12:42:26.395,32.02
02/25/2017,12:42:56.471,32.04
02/25/2017,12:43:26.536,32.05
02/25/2017,12:43:56.604,32.03
02/25/2017,12:44:26.688,32.07
02/25/2017,12:44:56.774,32.18
02/25/2017,12:45:26.868,32.26
02/25/2017,12:45:56.960,32.3
02/25/2017,12:46:27.029,32.35
02/25/2017,12:46:57.101,32.41
02/25/2017,12:47:27.224,32.47
02/25/2017,12:47:57.285,32.46
02/25/2017,12:48:27.396,32.47
02/25/2017,12:48:57.459,32.44
02/25/2017,12:49:27.512,32.46
02/25/2017,12:49:57.600,32.49
02/25/2017,12:50:27.672,32.49
02/25/2017,12:50:57.755,32.46
02/25/2017,12:51:27.879,32.46
02/25/2017,12:51:57.956,32.48
02/25/2017,12:52:28.049,32.47
02/25/2017,12:52:58.083,32.47
02/25/2017,12:53:28.181,32.4
02/25/2017,12:53:58.260,32.45
02/25/2017,12:54:28.385,32.45
02/25/2017,12:54:58.446,32.48
02/25/2017,12:55:28.526,32.48
02/25/2017,12:55:58.577,32.47
02/25/2017,12:56:28.671,32.49
02/25/2017,12:56:58.760,32.47
02/25/2017,12:57:28.852,32.47
02/25/2017,12:57:58.945,32.44
02/25/2017,12:58:29.018,32.41
02/25/2017,12:58:59.087,32.41
02/25/2017,12:59:29.158,32.38
02/25/2017,12:59:59.261,32.41
02/25/2017,01:00:29.346,32.43
02/25/2017,01:00:59.455,32.41
02/25/2017,01:01:29.527,32.45
02/25/2017,01:01:59.596,32.47
02/25/2017,01:02:29.671,32.45
02/25/2017,01:02:59.737,32.46
02/25/2017,01:03:29.830,32.5
02/25/2017,01:03:59.949,32.47
02/25/2017,01:04:30.042,32.41
02/25/2017,01:05:00.084,32.33
02/25/2017,01:05:30.162,32.23
02/25/2017,01:06:00.282,32.18
02/25/2017,01:06:30.324,32.13
02/25/2017,01:07:00.394,32.14
02/25/2017,01:07:30.536,32.03
02/25/2017,01:08:00.577,32.01
02/25/2017,01:08:30.706,31.9
02/25/2017,01:09:00.752,31.74
02/25/2017,01:09:30.844,31.73
02/25/2017,01:10:00.985,31.7
02/25/2017,01:10:31.549,31.75
02/25/2017,01:12:23.306,31.1
02/25/2017,01:12:31.352,30.94
02/25/2017,01:13:01.456,30.96
02/25/2017,01:13:31.513,30.99
02/25/2017,01:14:01.567,30.94
02/25/2017,01:14:31.673,30.9
02/25/2017,01:15:01.756,30.89
02/25/2017,01:15:31.806,30.87
02/25/2017,01:16:01.937,30.76
02/25/2017,01:16:32.038,30.71
02/25/2017,01:17:02.096,30.73
02/25/2017,01:17:32.175,30.74
02/25/2017,01:18:02.276,30.79
02/25/2017,01:18:32.310,30.84
02/25/2017,01:19:02.399,30.87
02/25/2017,01:19:32.473,30.93
02/25/2017,01:20:02.591,30.97
02/25/2017,01:20:32.638,31.02
02/25/2017,01:21:02.718,31.11
02/25/2017,01:21:32.797,31.14
02/25/2017,01:22:02.888,31.19
02/25/2017,01:22:32.963,31.43
02/25/2017,01:23:03.041,31.6
02/25/2017,01:23:33.121,31.72
02/25/2017,01:24:03.266,31.67
02/25/2017,01:24:33.320,31.61
02/25/2017,01:25:03.426,31.67
02/25/2017,01:25:33.484,31.67
02/25/2017,01:26:03.572,31.64
02/25/2017,01:26:33.634,31.67
02/25/2017,01:27:03.744,31.66
02/25/2017,01:27:33.808,31.64
02/25/2017,01:28:03.911,31.63
02/25/2017,01:28:33.975,31.62
02/25/2017,01:29:04.043,31.64
02/25/2017,01:29:34.116,31.71
02/25/2017,01:30:04.221,31.75
02/25/2017,01:30:34.316,31.81
02/25/2017,01:31:04.391,31.82
02/25/2017,01:31:34.452,31.86
02/25/2017,01:32:04.559,31.89
02/25/2017,01:32:34.631,31.91
02/25/2017,01:33:04.701,31.93
02/25/2017,01:33:34.811,31.97
02/25/2017,01:34:04.890,31.99
02/25/2017,01:34:34.938,31.99
02/25/2017,01:35:05.021,32.02
02/25/2017,01:35:35.138,32.02
02/25/2017,01:36:05.250,32.03
02/25/2017,01:36:35.286,32.03
02/25/2017,01:37:05.392,32.04
02/25/2017,01:37:35.476,32.05
02/25/2017,01:38:05.550,32.07
02/25/2017,01:38:35.634,32.08
02/25/2017,01:39:05.712,32.08
02/25/2017,01:39:35.780,32.1
02/25/2017,01:40:05.840,32.11
02/25/2017,01:40:35.927,32.12
02/25/2017,01:41:06.037,32.13
02/25/2017,01:41:36.101,32.13
02/25/2017,01:42:06.188,32.15
02/25/2017,01:42:36.263,32.11
02/25/2017,01:43:06.370,32.01
02/25/2017,01:43:36.425,31.94
02/25/2017,01:44:06.504,31.91
02/25/2017,01:44:36.600,31.9
02/25/2017,01:45:06.663,31.93
02/25/2017,01:46:03.577,31.97
02/25/2017,01:46:06.940,31.82
02/25/2017,01:46:37.026,31.82
02/25/2017,01:47:07.120,31.71
02/25/2017,01:47:37.192,31.64
02/25/2017,01:48:07.261,31.56
02/25/2017,01:48:37.323,31.48
02/25/2017,01:49:07.425,31.37
02/25/2017,01:49:37.502,31.29
02/25/2017,01:50:07.577,31.23
02/25/2017,01:50:37.652,31.24
02/25/2017,01:51:07.740,31.29
02/25/2017,01:51:37.817,31.33
02/25/2017,01:52:07.907,31.34
02/25/2017,01:52:38.025,31.37
02/25/2017,01:53:08.088,31.36
02/25/2017,01:53:38.152,31.35
02/25/2017,01:54:08.247,31.34
02/25/2017,01:54:38.348,31.33
02/25/2017,01:55:08.412,31.33
02/25/2017,01:55:38.486,31.29
02/25/2017,01:56:08.630,31.27
02/25/2017,01:56:38.690,31.27
02/25/2017,01:57:08.761,31.26
02/25/2017,01:57:38.822,31.33
02/25/2017,01:58:08.893,31.32
02/25/2017,01:58:38.979,31.21
02/25/2017,01:59:09.089,31.18
02/25/2017,01:59:39.153,31.18
02/25/2017,02:00:09.262,31.18
02/25/2017,02:00:39.339,31.21
02/25/2017,02:01:09.395,31.26
02/25/2017,02:01:39.492,31.34
02/25/2017,02:02:09.557,31.39
02/25/2017,02:02:39.626,31.42
02/25/2017,02:03:09.726,31.39
02/25/2017,02:03:39.817,31.39
02/25/2017,02:04:09.897,31.43
02/25/2017,02:04:39.990,31.42
02/25/2017,02:05:10.064,31.42
02/25/2017,02:05:40.170,31.45
02/25/2017,02:06:10.218,31.46
02/25/2017,02:06:40.311,31.42
02/25/2017,02:07:10.413,31.42
02/25/2017,02:07:40.486,31.44
02/25/2017,02:08:10.530,31.48
02/25/2017,02:08:40.645,31.53
02/25/2017,02:09:10.712,31.57
02/25/2017,02:09:40.786,31.51
02/25/2017,02:10:10.876,31.4
02/25/2017,02:10:40.967,31.21
02/25/2017,02:11:11.035,31.13
02/25/2017,02:11:41.115,31.03
02/25/2017,02:12:11.188,31.0
02/25/2017,02:12:41.288,30.88
02/25/2017,02:13:11.389,30.89
02/25/2017,02:13:41.441,30.87
02/25/2017,02:14:11.535,30.94
02/25/2017,02:14:41.613,30.97
02/25/2017,02:15:11.716,31.05
02/25/2017,02:15:41.788,31.01
02/25/2017,02:16:11.934,31.02
02/25/2017,02:16:41.952,31.07
02/25/2017,02:17:12.016,31.09
02/25/2017,02:17:42.109,31.12
02/25/2017,02:18:12.180,31.08
02/25/2017,02:18:42.283,30.99
02/25/2017,02:19:12.344,31.0
02/25/2017,02:19:42.429,31.03
02/25/2017,02:20:12.511,30.95
02/25/2017,02:20:42.613,30.92
02/25/2017,02:21:12.691,30.87
02/25/2017,02:21:42.762,30.83
02/25/2017,02:22:12.839,30.86
02/25/2017,02:22:42.922,30.98
02/25/2017,02:23:13.003,30.95
02/25/2017,02:23:43.076,30.93
02/25/2017,02:24:13.211,31.06
02/25/2017,02:24:43.246,31.2
02/25/2017,02:25:13.382,31.28
02/25/2017,02:25:43.441,31.35
02/25/2017,02:26:13.511,31.39
02/25/2017,02:26:43.588,31.46
02/25/2017,02:27:13.704,31.53
02/25/2017,02:27:43.740,31.69
02/25/2017,02:28:13.857,31.77
02/25/2017,02:28:43.937,31.83
02/25/2017,02:29:14.010,31.89
02/25/2017,02:29:44.077,32.06
02/25/2017,02:30:14.181,32.19
02/25/2017,02:30:44.260,32.29
02/25/2017,02:31:14.326,32.34
02/25/2017,02:31:44.425,32.36
02/25/2017,02:32:14.474,32.39
02/25/2017,02:32:44.632,32.45
02/25/2017,02:33:14.639,32.49
02/25/2017,02:33:44.765,32.6
02/25/2017,02:34:14.839,32.74
02/25/2017,02:34:44.901,32.84
02/25/2017,02:35:14.978,32.68
02/25/2017,02:35:45.061,32.43
02/25/2017,02:36:15.185,32.28
02/25/2017,02:36:45.247,32.07
02/25/2017,02:37:15.277,31.92
02/25/2017,02:37:45.399,31.59
02/25/2017,02:38:15.470,30.85
02/25/2017,02:38:45.547,30.29
02/25/2017,02:39:15.677,29.56
02/25/2017,02:39:45.711,28.92
02/25/2017,02:40:15.817,28.59
02/25/2017,02:40:45.921,28.33
02/25/2017,02:41:15.987,28.23
02/25/2017,02:41:46.123,28.11
02/25/2017,02:42:16.181,28.43
02/25/2017,02:42:46.283,28.54
02/25/2017,02:43:16.362,28.25
02/25/2017,02:43:46.445,27.51
02/25/2017,02:44:16.498,27.16
02/25/2017,02:44:46.595,27.12
02/25/2017,02:45:16.667,27.04
02/25/2017,02:45:46.779,27.09
02/25/2017,02:46:16.843,27.31
02/25/2017,02:46:46.926,27.54
02/25/2017,02:47:17.011,27.87
02/25/2017,02:47:47.108,27.98
02/25/2017,02:48:17.166,27.95
02/25/2017,02:48:47.233,27.82
02/25/2017,02:49:17.356,27.5
02/25/2017,02:49:47.411,27.33
02/25/2017,02:50:17.482,27.18
02/25/2017,02:50:47.572,27.06
02/25/2017,02:51:17.672,26.95
02/25/2017,02:51:47.735,27.02
02/25/2017,02:52:17.817,27.16
02/25/2017,02:52:47.909,27.04
02/25/2017,02:53:18.010,26.79
02/25/2017,02:53:48.086,26.51
02/25/2017,02:54:18.156,26.15
02/25/2017,02:54:48.284,26.04
02/25/2017,02:55:18.295,26.01
02/25/2017,02:55:48.384,25.97
02/25/2017,02:56:18.469,25.98
02/25/2017,02:56:48.548,25.95
02/25/2017,02:57:18.671,26.01
02/25/2017,02:57:48.707,25.95
02/25/2017,02:58:18.804,25.88
02/25/2017,02:58:48.881,25.75
02/25/2017,02:59:18.982,25.56
02/25/2017,02:59:49.053,25.48
02/25/2017,03:00:19.119,25.51
02/25/2017,03:00:49.235,25.55
02/25/2017,03:01:19.331,25.61
02/25/2017,03:01:49.379,25.72
02/25/2017,03:02:19.453,25.69
02/25/2017,03:02:49.539,25.64
02/25/2017,03:03:19.644,25.53
02/25/2017,03:03:49.725,25.44
