Date,Time,Brightness (LUX)
02/25/2017,09:56:28.669,4
02/25/2017,09:56:29.173,1
02/25/2017,09:56:29.689,4
02/25/2017,09:56:30.188,0
02/25/2017,09:56:30.670,0
02/25/2017,09:56:31.204,0
02/25/2017,09:56:31.691,0
02/25/2017,09:56:32.227,0
02/25/2017,09:56:32.660,0
02/25/2017,09:56:33.198,0
02/25/2017,09:56:33.692,0
02/25/2017,09:56:34.246,0
02/25/2017,09:56:34.694,0
02/25/2017,09:56:35.212,0
02/25/2017,09:56:35.694,0
02/25/2017,09:56:36.177,0
02/25/2017,09:56:36.691,0
02/25/2017,09:56:37.191,0
02/25/2017,09:56:37.694,0
02/25/2017,09:56:38.206,0
02/25/2017,09:56:38.733,0
02/25/2017,09:56:39.204,0
02/25/2017,09:56:39.690,0
02/25/2017,09:56:40.195,0
02/25/2017,09:56:40.692,0
02/25/2017,09:56:41.186,0
02/25/2017,09:56:41.691,0
02/25/2017,09:56:42.194,0
02/25/2017,09:56:42.715,0
02/25/2017,09:56:43.200,0
02/25/2017,09:56:43.716,0
02/25/2017,09:56:44.165,0
02/25/2017,09:56:44.676,0
02/25/2017,09:56:45.195,0
02/25/2017,09:56:45.702,0
02/25/2017,09:56:46.186,0
02/25/2017,09:56:46.682,0
02/25/2017,09:56:47.180,0
02/25/2017,09:56:47.684,0
02/25/2017,09:56:48.159,0
02/25/2017,09:56:48.666,0
02/25/2017,09:56:49.172,0
02/25/2017,09:56:49.677,0
02/25/2017,09:56:50.162,0
02/25/2017,09:56:50.694,0
02/25/2017,09:56:51.182,0
02/25/2017,09:56:51.705,0
02/25/2017,09:56:52.202,0
02/25/2017,09:56:52.719,0
02/25/2017,09:56:53.161,0
02/25/2017,09:56:53.673,0
02/25/2017,09:56:54.174,0
02/25/2017,09:56:54.709,0
02/25/2017,09:56:55.201,0
02/25/2017,09:56:55.710,0
02/25/2017,09:56:56.194,0
02/25/2017,09:56:56.664,0
02/25/2017,09:56:57.177,0
02/25/2017,09:56:57.707,0
02/25/2017,09:56:58.198,0
02/25/2017,09:56:58.683,0
02/25/2017,09:56:59.178,0
02/25/2017,09:56:59.666,0
02/25/2017,09:57:00.215,0
02/25/2017,09:57:00.686,0
02/25/2017,09:57:01.168,0
02/25/2017,09:57:01.683,0
02/25/2017,09:57:02.200,0
02/25/2017,09:57:02.712,0
02/25/2017,09:57:03.198,0
02/25/2017,09:57:03.689,0
02/25/2017,09:57:04.198,0
02/25/2017,09:57:04.690,0
02/25/2017,09:57:05.194,0
02/25/2017,09:57:05.679,0
02/25/2017,09:57:06.182,0
02/25/2017,09:57:06.697,0
02/25/2017,09:57:07.222,0
02/25/2017,09:57:07.667,0
02/25/2017,09:57:08.170,0
02/25/2017,09:57:08.700,0
02/25/2017,09:57:09.190,0
02/25/2017,09:57:09.696,0
02/25/2017,09:57:10.207,0
02/25/2017,09:57:10.706,0
02/25/2017,09:57:11.201,0
02/25/2017,09:57:11.685,0
02/25/2017,09:57:12.198,0
02/25/2017,09:57:12.689,0
02/25/2017,09:57:13.177,0
02/25/2017,09:57:13.679,0
02/25/2017,09:57:14.270,0
02/25/2017,09:57:14.689,0
02/25/2017,09:57:15.212,0
02/25/2017,09:57:15.699,0
02/25/2017,09:57:16.202,0
02/25/2017,09:57:16.707,0
02/25/2017,09:57:17.206,0
02/25/2017,09:57:17.708,0
